PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Tumer, IY; Wood, KL; Busch-Vishniac, IJ				Tumer, IY; Wood, KL; Busch-Vishniac, IJ			A mathematical transform to analyze part surface quality in manufacturing	JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME			English	Article							DECOMPOSITION; DIAGNOSIS	The status of fault patterns on part surfaces can provide valuable in formation about the condition of a manufacturing system. Accurate detection of the part of the surface condition manufacturing ensures the fault-free manufacturing of high-quality parts , as well as helping. To address this problem, we introduce an alternative mathematical transform that has the potential to detect faults in manufacturing machines by decomposing signals into individual components. Specifically, the paper focuses on the decomposition of numerically generated data using the Karhunen-Loeve transform to study a variety of signals from manufacturing. The potential utility of the proposed technique is then discussed in the context of understanding a manufacturing process under constant development.	NASA, Ames Res Ctr, Moffett Field, CA 94035 USA; Univ Texas, Austin, TX 78712 USA; Johns Hopkins Univ, Whiting Sch Engn, Baltimore, MD 21218 USA		Tumer, IY (corresponding author), NASA, Ames Res Ctr, Moffett Field, CA 94035 USA.	itumer@ptolemy.arc.nasa.gov; wood@mail.utexas.edu; ilenebv@jhu.edu					Algazi VR, 1993, IEEE T SPEECH AUDI P, V1, P180, DOI 10.1109/89.222877; BALL KS, 1991, INT J NUMER METH FL, V12, P585, DOI 10.1002/fld.1650120606; BARKER RW, 1993, J ENG IND-T ASME, V115, P23, DOI 10.1115/1.2901634; Berry J. E., 1991, Sound and Vibration, V25, P24; FACKRELL J, 1994, EUSIPCO 94 ED UK; Fukunaga K., 1990, INTRO STAT PATTERN R, V2nd, DOI 10.1016/c2009-0-27872-x; GENG ZX, 1994, BRIT J NONDESTR TEST, V36, P11; GRAHAM MD, 1993, J PHYS CHEM-US, V97, P889, DOI 10.1021/j100106a014; Grigoriev AY, 1998, INT J MACH TOOL MANU, V38, P719, DOI 10.1016/S0890-6955(97)00123-5; Jacobs P.F., 1992, RAPID PROTOTYPING MA; JONES RM, 1994, SOUND VIB, V28, P24; Kasashima N, 1995, CIRP ANN-MANUF TECHN, V44, P483; KOZEK W, 1993, 27 AS C SIGN SYST CO, V1, P499; LADD MD, 1995, THESIS U TEXAS AUSTI; Lee SH, 1998, INT J MACH TOOL MANU, V38, P581, DOI 10.1016/S0890-6955(97)00105-3; Martin EB, 1996, IEE P-CONTR THEOR AP, V143, P132, DOI 10.1049/ip-cta:19960321; Rao P., 1990, Sound and Vibration, V24, P22; ROHRBAUGH RA, 1993, 27 AS C SIGN SYST CO, V2, P1455; SIROVICH L, 1987, J OPT SOC AM A, V4, P519, DOI 10.1364/JOSAA.4.000519; SOTTILE J, 1994, IEEE T IND APPL, V30, P1326, DOI 10.1109/28.315247; Therrien CW, 1992, DISCRETE RANDOM SIGN; TURNER I, 1997, 1997 ASME DES MAN C; TURNER I, 1998, 1998 ASME DES MAN C; Turner IY, 1998, J MANUF SYST, V17, P23; Whitehouse D.J., 1994, HDB SURFACE METROLOG; WHITEHOUSE DJ, 1992, MEAS SCI TECHNOL, V3, P796, DOI 10.1088/0957-0233/3/9/002; ZEMEL M, 1996, 1996 ASME DES ENG TE	27	4	4	0	2	ASME	NEW YORK	TWO PARK AVE, NEW YORK, NY 10016-5990 USA	1087-1357	1528-8935		J MANUF SCI E-T ASME	J. Manuf. Sci. Eng.-Trans. ASME	FEB	2000	122	1					273	279		10.1115/1.538904			7	Engineering, Manufacturing; Engineering, Mechanical	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	404PM	WOS:000167109600033					2022-02-14	
J	Al-Najjar, B				Al-Najjar, B			Accuracy, effectiveness and improvement of vibration-based maintenance in paper mills: Case studies	JOURNAL OF SOUND AND VIBRATION			English	Article								Many current vibration-based maintenance (VBM) policies for rolling element bearings do not use as much as possible of their useful lives. Evidence and indications to prolong the bearings' mean effective lives by using more accurate diagnosis and prognosis are confirmed when faulty bearing installation, faulty machinery design, harsh environmental condition and when a bearing is replaced as soon as its vibration level exceeds the normal. Analysis of data from roller bearings at two paper mills suggests that longer bearing lives can be safely achieved by-increasing the accuracy of the vibration data. This paper relates bearing failure modes to the observed vibration spectra and their development patterns over the bearings' lives. A systematic approach, which describes-the objectives and performance of studies in two Swedish paper mills, is presented. Explanations of the mechanisms behind some frequent modes of early failure and ways to avoid them are suggested. It is shown theoretically, and partly confirmed by the analysis of (unfortunately incomplete) data from two paper mills over many years, that accurate prediction of remaining bearing life requires: (a) enough vibration measurements, (b) numerate records of operating conditions,(c) better discrimination between frequencies in the spectrum and (d) correlation of(b) and (c). This is because life prediction depends on precise knowledge of primary, harmonic and side-band frequency amplitudes and their development over time. Further, the available data, which are collected from relevant plant activities, can be utilized to perform cyclic improvements in diagnosis, prognosis, experience and economy. (C) 2000 Academic Press.	Vaxjo Univ, Dept Math Stat & Comp Sci, S-35195 Vaxjo, Sweden		Al-Najjar, B (corresponding author), Vaxjo Univ, Dept Math Stat & Comp Sci, Vejdes Plts 7, S-35195 Vaxjo, Sweden.						Al-Najjar B, 1998, P I MECH ENG J-J ENG, V212, P111, DOI 10.1243/1350650981541930; ALNAJJAR B, 1996, ISRNHVMASDASER9581SE; ALNAJJAR B, 1997, THESIS LUND U SWEDEN; ALNAJJAR B, 1994, NORD C VEH MACH VIBR; ALNAJJAR B, 1998, INT C MAINT SOC ICOM, V50, P1; BARKOV AV, 1995, SOUND VIBRATION  SEP, P27; BLOCH HP, 1994, MACHINERY FAILURE AN; Collacott R.A., 1977, MECH FAULT DIAGNOSIS; Lai M.S., 1989, P 1 INT MACH MAINT D, P122; LIPOVSZKY G, VIBRATION TESTING MA; TRANTER J, 1989, INT MACHINERY MONITO, P394; [No title captured]	12	24	24	0	4	ACADEMIC PRESS LTD	LONDON	24-28 OVAL RD, LONDON NW1 7DX, ENGLAND	0022-460X			J SOUND VIB	J. Sound Vibr.	JAN 13	2000	229	2					389	410		10.1006/jsvi.1999.2492			22	Acoustics; Engineering, Mechanical; Mechanics	Science Citation Index Expanded (SCI-EXPANDED)	Acoustics; Engineering; Mechanics	274RB	WOS:000084777900010					2022-02-14	
C	Ganguly, P; Ray, P; Low, G			IEEE; IEEE	Ganguly, P; Ray, P; Low, G			Software agent based approach towards tele-electrocardiography	13TH IEEE SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS (CBMS 2000), PROCEEDINGS			English	Proceedings Paper	13th IEEE Symposium on Computer-Based Medical Systems (CBMS 2000)	JUN 22-24, 2000	UNIV TEXAS, MD ANDERSON CANC CTR, HOUSTON, TX	IEEE, Comp Soc, IEEE, Reg 6, IEEE, Houston Sect	UNIV TEXAS, MD ANDERSON CANC CTR			Telemedicine involves the integration of information, telecommunications, human-machine and healthcare technologies. One of the aspects of telecardiology known as tele-electrocardiography deploys Electrocardiography machines to transmit Electrocardiograms (ECC) over networks. Tele-electrocardiography diagnosis and ECG interpretation is simple, reliable and cost-effective. As different parts of this tele-electrocardiography system work on different computing environments, software interoperability is a major issue. Software agent technology supports heterogeneous computing environment. As this technology reacts dynamically to adverse conditions, it is suitable for development of fault tolerant distributed systems. Additionally, agent technology represents the intentions, desires and resources of the participants - so it can be effectively used in on-line healthcare application. The features of software agent technology are potentially suitable for the development of interoperable telemedicine systems. This paper presents a software agent based interoperable scheme for tele-electrocardiography application.	Univ New S Wales, Sch Informat Syst Technol & Management, Sydney, NSW 2052, Australia		Ganguly, P (corresponding author), Univ New S Wales, Sch Informat Syst Technol & Management, Sydney, NSW 2052, Australia.	p.ganguly@unsw.edu.au; p.ray@unsw.edu.au; g.low@unsw.edu.au					Berdusis K, 1999, Telemed Today, V7, P25; Degoulet P, 1996, Yearb Med Inform, P65; Falchuk B, 1998, COMPUTER, V31, P31, DOI 10.1109/2.735848; FRANKLIN S, 1996, IS IT AGENT JUST PRO; GANGULY P, 1998, P GLOB 98 SYDN 8 12; GENESRETH RM, 1997, AGENT BASED FRAMEWOR, P317; Giovas P, 1998, J TELEMED TELECARE, V4, P5, DOI 10.1258/1357633981931533; HOWIE T, 1996, SOFTWARE INTEROPERAB; LECLERCQ E, P 1999 INT DAT ENG A; MAHMOUD QH, 1999, DISTRIBUTED PROGRAMM, P238; Ong K, 1995, J Telemed Telecare, V1, P27; PARUNAK V, 1998, PRACTICAL IND APPL A; RUBEL P, 1995, P HLTH TELEMATICS 95, P381; Shanit D, 1997, J Telemed Telecare, V3 Suppl 1, P60, DOI 10.1258/1357633971930409; TONG DA, 1996, P ANN S COMP APPL ME, P601; VONRAMESH, 1999, INTELLIGENT AGENT BA	16	1	1	0	1	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			0-7695-0484-1				2000							275	280		10.1109/CBMS.2000.856911			6	Computer Science, Interdisciplinary Applications; Medicine, General & Internal	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; General & Internal Medicine	BQ75Q	WOS:000089403800042					2022-02-14	
C	Miller, JL; Kitaljevich, D			IEEE; IEEE	Miller, JL; Kitaljevich, D			In-line oil debris monitor for aircraft engine condition assessment	2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2000 IEEE Aerospace Conference	MAR 18-25, 2000	BIG SKY, MT	IEEE, Aerosp & Electr Syst Soc				The development of an in-line, full flow oil debris sensor for aircraft engine condition assessment is described. First used on the F22 fighter, this sensor is the only " all-metals" debris detector in production. The sensor is based on an inductive measurement technique which enables the system to detect, count and classify wear metal particles by size and type (ferromagnetic and nonferromagnetic) above a minimum particle size threshold. In night, the measured count Values are compared to preset levels to provide prognostic health information on the oil-wetted components of the engine. This paper describes the sensor design requirements, principle of operation, electronic design and mechanical design features. The results of a test program established to correlate the oil borne debris measurements to component degradation characteristics and data from actual engine bearing failures, are also presented.	Pratt & Whitney Aircraft Co, E Hartford, CT 06108 USA		Miller, JL (corresponding author), Pratt & Whitney Aircraft Co, 400 Main St, E Hartford, CT 06108 USA.						MESSINGER GS, 1995, IMRMCMCTR20 NAT RES; Muir D.M., 1996, 961308 SAE	2	86	93	2	14	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-5846-5	AEROSP CONF PROC			2000							49	56					8	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ98K	WOS:000165246000007					2022-02-14	
C	Powrie, H			IEEE; IEEE	Powrie, H			Use of electrostatic technology for aero engine oil system monitoring	2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6	IEEE Aerospace Conference Proceedings		English	Proceedings Paper	2000 IEEE Aerospace Conference	MAR 18-25, 2000	BIG SKY, MT	IEEE, Aerosp & Electr Syst Soc			WEAR	A significant reduction in aircraft operational costs will be achieved through prognostics and health management (PHM): Early or predictive fault diagnosis will be used to maximise aircraft availability by planning and undertaking maintenance only when it is needed. This requires reliable aircraft sub-system fault monitoring, from which comprehensive, early detection and tracking data can be obtained. A review of on-line oil system monitoring identified a number of gaps, which need to be filled before such capability can be achieved. Current technology is limited in terms of early detection and the impact of using materials such as ceramics should be considered. Two sensor systems are being developed to address present and future shortcomings in aero engine oil-system monitoring. The sensor systems have undergone a number of trials including gear and bearing rig tests and full scale engine work. This paper describes the technology performance during a recent Joint Strike Fighter (JSF) funded program.	Stewart Hughes Ltd, Eastleigh SO53 4YG, Hants, England		Powrie, H (corresponding author), Stewart Hughes Ltd, Sch Lane, Eastleigh SO53 4YG, Hants, England.	hep@shl.co.uk					Fisher CE, 2000, AEROSP CONF PROC, P441, DOI 10.1109/AERO.2000.877918; NURSE J, 1994, C4706052; Powrie HEG, 1999, CONDITION MONITORING '99, PROCEEDINGS, P175; Powrie HEG, 1999, CONDITION MONITORING '99, PROCEEDINGS, P155; POWRIE HEG, 1997, 972904 AIAA; ROYLANCE BJ, 1983, WEAR, V90, P113, DOI 10.1016/0043-1648(83)90051-0; ROYLANCE BJ, 1994, WEAR, V175, P115, DOI 10.1016/0043-1648(94)90174-0; Tasbaz OD, 1999, WEAR, V230, P86, DOI 10.1016/S0043-1648(98)00420-7; TASBAZ OD, 1999, INT C COND MON U WAL; XUAN JL, 1992, WEAR PARTICLES	10	12	13	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-5846-5	AEROSP CONF PROC			2000							57	71					15	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ98K	WOS:000165246000008					2022-02-14	
C	Ferrell, BL			IEEE; IEEE	Ferrell, BL			Air vehicle prognostics & health management	2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2000 IEEE Aerospace Conference	MAR 18-25, 2000	BIG SKY, MT	IEEE, Aerosp & Electr Syst Soc				Affordability in both acquisition and support is a key objective of the Joint Strike Fighter (JSF) Program. The concept of Autonomic Logistics, or the automation of previously labor-intensive, routine tasks, has been identified as the enabler of a streamlined Support Concept. JSF Prognostics & Health Management (PHM) is comprehensive system for detecting and isolating failures as well. as predicting remaining useful life for critical components. The PHM system is a hierarchical distribution of data collection and information management elements, both on-board and off-board, that make maximum use of conventional failure symptom-detecting techniques combined with advanced software modeling to achieve excellent failure detection and isolation with zero false alarms. The information processed and managed on-board the aircraft enhances the pilot's knowledge of his remaining capabilities in the event of malfunction and, at the same time, triggers the Autonomic Logistics processes by relaying failure information to the ground. The use of on-board processing resources coupled with the Autonomic Logistics System provides operations and support cost savings over legacy aircraft while providing the Warfighter with superb system management capabilities.	Lockheed Martin Tact Aircraft Syst, Ft Worth, TX 76126 USA		Ferrell, BL (corresponding author), Lockheed Martin Tact Aircraft Syst, POB 748, Ft Worth, TX 76126 USA.							0	9	9	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-5846-5	AEROSP CONF PROC			2000							145	146					2	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ98K	WOS:000165246000014					2022-02-14	
C	Hadden, GD; Bergstrom, P; Vachtsevanos, G; Bennett, BH; Van Dyke, J			IEEE; IEEE	Hadden, GD; Bergstrom, P; Vachtsevanos, G; Bennett, BH; Van Dyke, J			Shipboard machinery diagnostics and prognostics/condition based maintenance: A progress report	2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2000 IEEE Aerospace Conference	MAR 18-25, 2000	BIG SKY, MT	IEEE, Aerosp & Electr Syst Soc				Honeywell Technology Center (HTC) and its teammates (PredictDLI, Knowledge Partners of Minnesota, the Georgia Institute of Technology, York International, and WM Engineering) have developed a distributed shipboard system to perform diagnostics and prognostics on mechanical equipment (e.g. engines, generators, and chilled water systems) for the Office of Naval Research (ONR). This Condition Based Maintenance (CBM) system (called MPROS for Machinery Prognostics/Diagnostics System) consists of MEMS and conventional sensors on the machinery, local intelligent signal processing devices (called "Data Concentrators"), and a centrally located subsystem (called the PDME for Prognostics, Diagnostics, Monitoring Engine) which is designed so that it can run under shipboard monitoring systems such as ICAS (Integrated Condition Assessment System). MPROS includes and augments periodic vibration analysis by collecting data continuously from vibration and other sensors, including temperature, pressure, current, voltage, and so on. These data streams are integrated as necessary in the Data Concentrators (data fusion). A second level of integration (knowledge fusion) occurs in the PDME. At this level, the conclusions of different diagnostic and prognostic reasoning mechanisms are fused to yield the best possible analysis. In this paper, we discuss recent progress in design and implementation of the software and hardware required to support our system. The authors gratefully acknowledge the support of the Office of Naval Research, grant number N00014-96-C-0373.	Honeywell Technol Ctr, Minneapolis, MN 55418 USA		Hadden, GD (corresponding author), Honeywell Technol Ctr, 3660 Technol Dr, Minneapolis, MN 55418 USA.		Lin, Zhao/C-8319-2011	Lin, Zhao/0000-0002-6131-9723			BENNETT BH, 1999, P 4 INT WORKSH EMB H; BRISTOW J, 1999, P 53 M SOC MACH FAIL; ECHAUZ J, 1996, P 2 WORLD AUT C MONT; EDWARDS TG, 1997, P 51 M SOC MACH FAIL; Hadden G., 1999, P 53 M SOC MACH FAIL; HADDEN GD, 1996, P 67 SHOCK VIBR S; HADDEN GD, 1999, P 1999 MAINT REL C M; HADDEN GD, 1998, P MAINT REL C MARCON; HADDEN GD, 1994, P 17 ANN AAS GUID CO; KANG H, 1991, PROCEEDINGS OF THE 30TH IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-3, P1555, DOI 10.1109/CDC.1991.261666; MUFTI M, 1995, P AM CONTR C; NELSON KS, 1994, P AAAI 1994 SPRING A; VACHTSEVANOS G, 1992, J GUID CONTROL DYNAM, V15, P1216, DOI 10.2514/3.20971	13	4	5	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-5846-5	AEROSP CONF PROC			2000							277	292					16	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ98K	WOS:000165246000029					2022-02-14	
C	Roemer, MJ; Kacprzynski, GJ			IEEE; IEEE	Roemer, MJ; Kacprzynski, GJ			Advanced diagnostics and prognostics for gas turbine engine risk assessment	2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6	IEEE AEROSPACE CONFERENCE PROCEEDINGS		English	Proceedings Paper	2000 IEEE Aerospace Conference	MAR 18-25, 2000	BIG SKY, MT	IEEE, Aerosp & Electr Syst Soc				Real-time, integrated health monitoring of gas turbine engines that can detect, classify, and predict developing engine faults is critical to reducing operating and maintenance costs while optimizing the life of critical engine components. Statistical-based anomaly detection algorithms, fault pattern recognition techniques and advanced probabilistic models for diagnosing structural, performance and vibration related faults and degradation can now be developed for real-time monitoring environments. Integration and implementation of these advanced technologies presents a great opportunity to significantly enhance current engine health monitoring capabilities and risk management practices. This paper describes some novel diagnostic and prognostic technologies for dedicated, real-time sensor analysis, performance anomaly detection and diagnosis, vibration fault detection, and component prognostics. The technologies have been developed for gas turbine engine health monitoring and prediction applications which includes an array of intelligent algorithms for assessing the total 'health' of an engine, both mechanically and thermodynamically.	Impact Technol, LLC, Rochester, NY 14623 USA		Roemer, MJ (corresponding author), Impact Technol, LLC, 125 Tech Pk Dr, Rochester, NY 14623 USA.						BJERAGER P, 1988, P INT WORKSH STRUCT; BOWERMAN, 1993, FORECASTING TIME SER; HALFORD G, 1996, 1 INT C FAT DAM SEPT; KACPRZYNSKI GJ, 1998, P IJPGC BALT MD; Kohonen T., 1987, SELF ORG ASS MEMORY; ROEMER MJ, 1997, P INT GAS TURB AER C; ROEMER MJ, 1999, 53 MACH PREV TECHN M	7	33	36	0	6	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1095-323X		0-7803-5846-5	AEROSP CONF PROC			2000							345	353					9	Engineering, Aerospace	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ98K	WOS:000165246000034					2022-02-14	
C	Randall, RB; Antoni, J; Chobsaard, S			IEEE, SIGNAL PROC SOC; IEEE, SIGNAL PROC SOC; IEEE, SIGNAL PROC SOC	Randall, RB; Antoni, J; Chobsaard, S			A comparison of cyclostationary and envelope analysis in the diagnostics of rolling element bearings	2000 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING, PROCEEDINGS, VOLS I-VI	International Conference on Acoustics Speech and Signal Processing (ICASSP)		English	Proceedings Paper	IEEE International Conference on Acoustics, Speech, and Signal Processing	JUN 05-09, 2000	ISTANBUL, TURKEY	IEEE Signal Proc Soc				Some machine signals, while being almost periodic, are not exactly phase-locked to shaft speeds. Typical examples are the impulsive signals from faults in rolling element bearings, which because of slip, are cyclostationary of second order. Thus the spectral correlation diagram has discrete cyclic frequencies and integrating the spectral correlation diagram along the frequency axis produces a discrete frequency spectrum, which has thus been suggested as a simpler way of presenting the data. However, as shown in this paper, this gives the same result as a Fourier transform of the squared signal, which is much more easily produced directly. The result is then very closely related to "envelope analysis" which has long been used in the diagnostics of rolling element bearings. This paper demonstrates that the optimum results are normally obtained by analyzing the squared envelope of an analytic signal (with bandpass filtered one-sided spectrum).	Univ New S Wales, Sch Mech & Mfg Engn, Sydney, NSW 2052, Australia		Randall, RB (corresponding author), Univ New S Wales, Sch Mech & Mfg Engn, Sydney, NSW 2052, Australia.		李, 振祥/U-3048-2017; Randall, Robert/K-1639-2015	Randall, Robert/0000-0003-4042-1566			ELBADAOUI M, 1999, THESIS U ST ETIENNE; Gardner WA., 1994, CYCLOSTATIONARITY CO; HO D, 1999, IN PRESS MECH SYSTEM	3	17	19	0	6	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1520-6149		0-7803-6293-4	INT CONF ACOUST SPEE			2000							3882	3885					4	Acoustics; Computer Science, Artificial Intelligence; Computer Science, Information Systems; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Acoustics; Computer Science; Engineering	BQ62X	WOS:000088999500972					2022-02-14	
C	Hoff, G; Kranz, HG			IEEE; IEEE; IEEE	Hoff, G; Kranz, HG			On-site dielectric diagnostics of power cables using the isothermal relaxation current measurements	2000 IEEE POWER ENGINEERING SOCIETY WINTER MEETING - VOLS 1-4, CONFERENCE PROCEEDINGS			English	Proceedings Paper	2000 Winter Meeting of the IEEE Power Engineering-Society	JAN 23-27, 2000	SINGAPORE, SINGAPORE	IEEE Power Engn Soc, IEEE Networking World		IRC-Analysis; ageing in polymeric materials; destruction free diagnostics; relaxation mechanisms; residual strength; cross-linked polyethylene insulation		The destruction free determination of the ageing status of a polymeric cable insulation is a significant issue in the assessment of the cable residual life. Ageing of a polymer changes the electrical, physical, mechanical and morphological properties of the insulation. Using the computer aided Isothermal-Relaxation-Current-Analysis (IRC-Analysis) the depolarization after de poling of the insulation is measurable and the separation of different time dependant relaxation mechanisms is feasible. The machine intelligent diagnostic tools for the ageing classification and the residual strength prognosis of installed medium-voltage cable is described. With the calibration performed in the field at one of the major German cable manufacturers using destructive methods (voltage and water tree tests) and the development of the machine intelligent diagnostic software, a non-destructive test procedure for already installed XLPE cable systems is created. The diagnosis reliability of the IRC-Analysis based on several on-site tests is also discussed.	Berg Univ Gesamthsch Wuppertal, Lab High Voltage Engn, D-42119 Wuppertal, Germany		Hoff, G (corresponding author), Berg Univ Gesamthsch Wuppertal, Lab High Voltage Engn, D-42119 Wuppertal, Germany.						BEIGERT M, ISH 95; BEIGERT M, 1995, THESIS BUGH WUPPERTA; BEIGERT M, DESTRUCTION FREE AGE; HOFF G, 1999, IEEE PES PANEL DIAGN; HOFMANN R, ISH 99; KRANZ HG, ISH 97, V4, P207; SIMMONS JG, 1973, PHYS REV B, V7, P3706, DOI 10.1103/PhysRevB.7.3706; STEINBRINK D, THESIS BUGH WUPPERTA	8	0	0	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-5935-6				2000							1593	1598					4	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BQ45S	WOS:000088388600317					2022-02-14	
C	Ye, ZM; Wu, B		Wong, KP; Su, Q; Stewart, B; Zhou, X		Ye, ZM; Wu, B			Induction motor mechanical fault simulation and stator current signature analysis	2000 INTERNATIONAL CONFERENCE ON POWER SYSTEM TECHNOLOGY, VOLS I-III, PROCEEDINGS			English	Proceedings Paper	International Conference on Power System Technology (POWERCON 2000)	DEC 04-07, 2000	UNIV WESTERN AUSTRALIA, PERTH, AUSTRALIA	IEEE Power Engn Soc, IEEE, Chinese Soc Electr Engineers, IEEE, Western Australia Sect, IEE, Univ Western Australia, Inst Engineers Australia, Inst Electr Engineers Japan, Western Power Corp, Siemens, Hitachi, Energex	UNIV WESTERN AUSTRALIA	induction motor; mechanical fault; simulation; rotor bar; wavelet packet decomposition; motor current signature analysis		This paper addresses the simulation of induction machines with mechanical faults and the fault signature analysis of stator current. Models for three-phase induction motors with broken rotor bars by winding function method are developed. Current waveforms of induction motor under normal and faulty conditions are simulated. New feature coefficients for signature analysis of the stator current are proposed based on the wavelet packet decomposition. The feature coefficients are calculated for both normal and fault conditions. It is shown that for most load conditions the new feature coefficients for fault cases are distinctive from normal conditions at certain depth and nodes. The features proposed here can be used for induction motor fault detection and diagnosis.	Ryerson Polytech Univ, Dept Elect & Comp Engn, Toronto, ON, Canada		Ye, ZM (corresponding author), Ryerson Polytech Univ, Dept Elect & Comp Engn, 350 Victoria St, Toronto, ON, Canada.						AUSTIIN B, IEEE IA, V22, P1165; BONNETT S, IEEE IA, V22, P1165; ELKASABGY NM, 1992, IEEE T IND APPL, V28, P165, DOI 10.1109/28.120226; JOCHEN L, 1989, IEEE C REC, P38; KLIMAN G, IEEE EC, V3, P873; KLIMAN K, 1988, IEEE EC, V3, P874; LUO XG, 1995, IEEE T IND APPL, V31, P311, DOI 10.1109/28.370279; MALLAT S, 1997, WAVELET TOUR SIGNAL; Osama M, 1997, IEEE T IND APPL, V33, P1177, DOI 10.1109/28.633794; TOLIYAT L, 1994, IEEE EC, V10	10	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-6338-8				2000							789	794					6	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BR60U	WOS:000166937600135					2022-02-14	
C	Frascarelli, RA			ISS; ISS; ISS	Frascarelli, RA			Predictive maintenance: Real problems - real solutions	58TH ELECTRIC FURNACE CONFERENCE AND 17TH PROCESS TECHNOLOGY CONFERENCE PROCEEDINGS	ELECTRIC FURNACE CONFERENCE - PROCEEDINGS		English	Proceedings Paper	58th Electric Furnace Conference/17th Process Technology Conference	NOV 12-15, 2000	ORLANDO, FL	Iron & Steel Soc, Elect Furnace Div, Iron & Steel Soc, Process Technol Div		downtime; maintenance costs; machine faults; and predictive maintenance technologies			USX Engineers & Consultants Inc, Pittsburgh, PA 15219 USA		Frascarelli, RA (corresponding author), USX Engineers & Consultants Inc, 600 Grant St, Pittsburgh, PA 15219 USA.						*USX USS G WORKS, AM Q	1	0	0	0	0	IRON & STEEL SOCIETY	WARRENDALE	186 THORN HILL RD, WARRENDALE, PA 15086-7528 USA	0096-0128		1-886362-46-7	ELECT FURN CONF PROC			2000	17						263	277					15	Engineering, Electrical & Electronic; Metallurgy & Metallurgical Engineering	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Metallurgy & Metallurgical Engineering	BS41U	WOS:000169778200022					2022-02-14	
